Country,Adult Literacy Rate,ICT Service Exports,R&D Expenditure,Journal Articles,Patent Applications,Mobile Subscriptions,Fixed Broadband Subscriptions,Secure Internet Servers (per million),Secure Internet Servers (alt),Internet Users,ICT Goods Imports,High-Tech Exports,Tertiary Education Enrollment,Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
Afghanistan,7.82851624017411,NONE,169.19,NONE,56.55443457,0.0800873,43.758544404586,1814.0,17.7,37.0,10.8584403991699,0.01,0.0,2024.0,Afghanistan,188.0,0.20827,0.1096,0.14379,0.2643,0.21672
Albania,3.01397608748124,0.154119998216629,238.59,23.0,97.88570679,22.472,1220.33290943972,3351.0,83.1,98.5,64.7293472290039,0.01,0.682326849473647,2024.0,Albania,62.0,0.8,0.726,0.81441,0.81059,0.77497
Algeria,2.21311390791552,0.478650003671646,7606.65,268.0,109.1653573,12.0087,100.294126063305,4630.0,76.9,81.4078369140625,55.5188903808594,0.03,0.960396672710236,2024.0,Algeria,116.0,0.59556,0.0548,0.332,0.64179,0.8129
Andorra,4.34892555438222,NONE,9.6,3.0,142.2141211,51.7401,14618.5811813595,1182.0,95.4,NONE,64.2772369384766,12.56,21.4346319155008,2024.0,Andorra,88.0,0.68931,0.5479,0.47804,0.66684,0.92307
Angola,45.4147601334516,0.0322900004684925,44.99,2.0,67.37347427,0.373669,40.2177899448233,1478.0,44.8,72.4000015258789,9.91084957122803,0.02,23.4714139423334,2024.0,Angola,156.0,0.41487,0.2192,0.39624,0.47602,0.37238
Antigua and Barbuda,0.491266592127263,NONE,7.02,5.0,197.3825359,10.6818,803.720690985469,75.0,77.6,99.0,24.93044090271,0.7,0.0,2024.0,Antigua and Barbuda,105.0,0.64282,0.3425,0.41658,0.71757,0.79426
Argentina,15.2012582416621,0.549470007419586,9122.18,406.0,132.3578095,25.3581,5451.20150353984,248239.0,89.2,97.0,107.047912597656,0.03,5.44959440578319,2024.0,Argentina,42.0,0.85733,0.6301,0.79649,0.93298,0.84254
Armenia,18.8731728802376,0.181150004267693,655.3,40.0,135.2539805,18.5458,1166.53850011702,3489.0,80.0,100.0,61.1857986450195,9.78,22.0274064686637,2024.0,Armenia,48.0,0.84217,0.8493,0.7922,0.8561,0.87824
Australia,3.2416431736305,1.8550900220871,62305.03,2966.0,107.0312028,36.4146,47567.6309507787,1268103.0,97.1,NONE,106.240760803223,0.7,25.1586416457084,2024.0,Australia,8.0,0.9577,0.863,0.92219,1.0,0.95092
Austria,12.6919247443816,3.20047998428345,14537.08,1872.0,123.4348071,29.6478,42281.0014410145,386100.0,94.9,NONE,94.5116882324219,4.88,15.9232697881169,2024.0,Austria,22.0,0.90653,0.7808,0.83829,0.90028,0.98096
Azerbaijan,2.20769612616225,0.181779995560646,1174.57,119.0,106.8548072,20.8825,549.736368813028,5582.0,89.0,100.0,41.3907585144043,0.07,2.91095088102775,2024.0,Azerbaijan,74.0,0.76073,0.4932,0.73863,0.72329,0.82034
Bahamas,NONE,NONE,17.75,4.0,98.53872346,23.8163,6434.00761065492,2570.0,94.8,NONE,14.3343200683594,0.71,0.0138247645369376,2024.0,Bahamas,83.0,0.71434,0.3151,0.54021,0.73762,0.86522
Bahrain,8.59334863170875,0.101159997284412,671.6,3.0,145.4432145,17.0462,5578.10456045081,8797.0,100.0,98.0,71.9592971801758,0.68,0.387343644517371,2024.0,Bahrain,18.0,0.91958,0.9041,0.90305,0.86804,0.98773
Bangladesh,10.0420735251627,NONE,7056.17,74.0,105.2642491,7.51447,388.168008314603,66558.0,44.5,76.0,23.7743072509766,0.05,0.307867105131918,2024.0,Bangladesh,100.0,0.65696,0.6164,0.73744,0.58337,0.6501
Barbados,0.225770564803364,NONE,72.38,73.0,114.8585936,37.4843,1059.02187464581,299.0,80.0,99.5,65.0382232666016,1.1,18.4336134860133,2024.0,Barbados,91.0,0.6815,0.3288,0.49755,0.7845,0.7624
Belarus,31.4053956639542,0.578429996967316,1519.37,276.0,123.4472552,35.0932,11946.8772968583,109652.0,91.5,100.0,67.0620422363281,1.09,6.01576846359853,2024.0,Belarus,77.0,0.74449,0.4932,0.57598,0.74188,0.91561
Belgium,14.1600401144108,3.40544009208679,17612.3,799.0,101.8707731,43.7026,33643.2314340463,396567.0,94.6,NONE,83.5736465454102,1.64,18.6668227645892,2024.0,Belgium,56.0,0.81212,0.5068,0.72244,0.84416,0.86984
Belize,10.0270257343873,NONE,17.74,1.0,65.9948854,9.75386,405693.422134437,166783.0,72.4,90.9160385131836,22.705150604248,0.14,0.0,2024.0,Belize,141.0,0.48719,0.2329,0.40545,0.52698,0.52917
Benin,2.83190861719933,NONE,413.69,NONE,108.9652901,0.170838,12.4016425727555,175.0,32.2,47.0999984741211,10.647970199585,0.05,4.41801513975982,2024.0,Benin,146.0,0.45779,0.3699,0.52016,0.37146,0.48171
Bhutan,0.705040537032692,NONE,115.3,1.0,94.89274144,1.31882,1227.13429172733,965.0,88.4,72.0999984741211,15.0250902175903,15.87,0.0230326501174942,2024.0,Bhutan,103.0,0.6511,0.4932,0.58862,0.54781,0.81695
Bolivia,4.34356490070711,0.157000005245209,188.02,5.0,99.62307127,10.9975,326.60471004991,3999.0,70.2,94.0,NONE,0.03,8.16517022638076,2024.0,Bolivia,99.0,0.66508,0.4247,0.59869,0.68765,0.7089
Bosnia and Herzegovina,13.0524690363778,0.192279994487762,1039.36,53.0,117.8877485,28.5064,5345.87433317855,17027.0,83.4,98.3000030517578,44.9843902587891,0.24,4.96705366555243,2024.0,Bosnia and Herzegovina,107.0,0.63293,0.5479,0.50028,0.62219,0.77628
Botswana,4.66075249113271,0.560999989509583,392.69,3.0,165.3049695,3.41216,441.085635122996,1094.0,81.4,86.8231811523438,21.7908344268799,0.16,0.539469030954736,2024.0,Botswana,112.0,0.61178,0.274,0.39852,0.57194,0.86495
Brazil,12.7458377115322,1.14525997638702,67030.59,4666.0,98.89102076,22.9115,5628.66295682819,1188440.0,84.2,94.6900024414062,60.3906211853027,0.27,11.1103644206652,2024.0,Brazil,50.0,0.84026,0.863,0.90631,0.80768,0.80685
Brunei Darussalam,10.0959941247275,0.277640014886856,414.38,2.0,117.7551548,20.212,8774.3954121264,4027.0,99.0,97.5899963378906,38.2732162475586,0.03,1.01925056768477,2024.0,Brunei Darussalam,75.0,0.75536,0.4658,0.5802,0.69909,0.9868
Bulgaria,23.8839775551161,0.754209995269775,4784.13,165.0,117.4346239,36.0803,54104.3676383629,348789.0,80.4,98.4199981689453,84.1293563842773,3.31,12.0578944173221,2024.0,Bulgaria,55.0,0.81453,0.6712,0.77271,0.75378,0.91707
Burkina Faso,15.1575780444903,0.251260012388229,411.23,2.0,111.6631328,0.0669065,22.583386549057,520.0,17.0,34.4900016784668,10.1689100265503,0.01,3.79784659837351,2024.0,Burkina Faso,175.0,0.28946,0.2192,0.33764,0.16677,0.36402
Burundi,3.86860273478797,0.213119998574257,27.99,2.0,57.96130144,0.0203441,10.2999024796467,141.0,11.1,75.5400009155273,6.2220401763916,0.1,1.11792409166671,2024.0,Burundi,183.0,0.24805,0.2192,0.3146,0.39655,0.03305
Cabo Verde,1.50384370732082,0.0662200003862381,22.01,1.0,99.2317289,7.23009,951.503931415137,497.0,73.5,91.0,20.2174491882324,0.07,1.15215005835922,2024.0,Cabo Verde,111.0,0.62378,0.5479,0.68917,0.56935,0.61278
Cambodia,5.69796876284965,0.118230000138283,203.2,1.0,116.3256071,2.96383,223.199425156739,3889.0,60.7,83.7799987792969,17.9681453704834,2.53,13.0335115656446,2024.0,Cambodia,120.0,0.57536,0.3151,0.45034,0.51489,0.76094
Cameroon,9.45307931673651,NONE,1506.03,NONE,82.77764316,2.18279,17.0586592662161,484.0,41.9,78.2300033569336,15.7919597625732,0.17,2.15123166966613,2024.0,Cameroon,155.0,0.42935,0.4247,0.39885,0.51925,0.37004
Canada,13.3202567627962,1.70132994651794,69051.87,4710.0,91.23062536,43.1752,42549.8820245849,1706155.0,94.0,NONE,77.3137588500977,1.37,16.7571370158249,2024.0,Canada,47.0,0.84516,0.9178,0.85516,0.87249,0.80782
Central African Republic,NONE,NONE,19.82,NONE,33.55228751,0.0160846,2.5230857493982,13.0,7.51,37.4900016784668,2.72516989707947,0.26,1.87856696826495,2024.0,Central African Republic,193.0,0.0947,0.0822,0.1128,0.1713,0.0
Chile,6.00816006406058,0.360410004854202,9057.77,402.0,134.7453263,22.9954,12299.9658931976,241803.0,94.5,97.1600036621094,99.3372802734375,0.29,10.7195633423709,2024.0,Chile,31.0,0.88266,0.8356,0.86119,0.84129,0.94553
China,17.4960413801051,2.55518007278442,898949.09,1426644.0,124.8775379,44.7289,1508.37096213963,2127874.0,77.5,97.0,74.823600769043,22.64,26.5682136542881,2024.0,China,35.0,0.87184,0.9315,0.92576,0.79023,0.89954
Colombia,10.4188407364376,0.289400011301041,9683.4,432.0,155.7854178,17.037,1109.11166481961,58030.0,77.3,96.0,59.2901382446289,0.29,8.59989159781141,2024.0,Colombia,68.0,0.7793,0.7397,0.7521,0.77931,0.80654
Comoros,11.6872752233131,NONE,3.74,NONE,100.2382961,0.387941,18.8149630697553,16.0,35.7,61.7099990844727,9.6282901763916,0.09,0.206883909574449,2024.0,Comoros,180.0,0.25862,0.0,0.02299,0.39916,0.35368
Costa Rica,14.3989506651499,0.33788999915123,711.36,15.0,152.0251489,22.5231,1956.70376699752,9990.0,85.4,98.0400009155273,54.7189712524414,0.83,24.177789153066,2024.0,Costa Rica,61.0,0.80089,0.726,0.72169,0.78766,0.89327
Croatia,7.68779664982501,1.40322995185852,5711.14,77.0,111.1680153,28.4709,29421.5643448716,113558.0,83.2,99.4499969482422,80.7626724243164,1.6,11.0335908814715,2024.0,Croatia,32.0,0.88175,0.9178,0.87347,0.85376,0.91799
Cuba,NONE,0.360119998455048,1237.5,21.0,67.78418241,2.97118,169.329553878332,1866.0,71.3,99.6731109619141,48.9434585571289,0.68,7.87558913182664,2024.0,Cuba,139.0,0.49214,0.0548,0.22982,0.71481,0.53183
Cyprus,30.2242370404501,0.745270013809204,1866.52,1.0,148.7380631,38.7322,557174.254410488,749386.0,91.2,99.3600006103516,98.3045806884766,1.66,18.5212981753698,2024.0,Cyprus,38.0,0.86187,0.6986,0.82165,0.8698,0.89406
Czech Republic,18.0280903986131,1.96420001983643,14425.23,541.0,128.4101866,37.9249,80152.0281309664,870775.0,86.0,NONE,70.8145904541016,16.1,22.4045215279558,2024.0,Czech Republic,54.0,0.82394,0.589,0.70063,0.85082,0.92043
Democratic Republic of the Congo,3.41580400885603,0.406379997730255,237.5,72.0,50.3424172,0.0322275,8.82883424668128,934.0,30.5,80.5400009155273,6.66692018508911,0.01,0.199611665225369,2024.0,Democratic Republic of the Congo,179.0,0.27149,0.2466,0.20671,0.44867,0.15906
Denmark,7.65476488731896,2.89051008224487,16126.02,1090.0,126.549332,44.4825,261262.408036924,1553715.0,99.8,NONE,84.5866088867188,3.71,17.1962013476568,2024.0,Denmark,1.0,0.98474,0.9863,0.99924,0.95841,0.99662
Djibouti,9.38744959208374,NONE,13.16,3.0,46.32720375,1.47206,63.3161714706005,73.0,65.0,NONE,5.21012020111084,0.15,3.27550022198031,2024.0,Djibouti,174.0,0.29105,0.0959,0.20915,0.27996,0.38402
Dominica,1.9031986869152,NONE,5.17,NONE,85.85731647,20.8601,66516.3133363404,4424.0,83.8,NONE,6.94106006622314,7.77,2.88328233207454,2024.0,Dominica,127.0,0.54452,0.3014,0.37983,0.57807,0.67566
Dominican Republic,0.451559934318555,NONE,109.82,7.0,90.39141331,11.1346,216.480684195454,2453.0,84.6,95.5,55.1665306091309,0.56,6.03092939982151,2024.0,Dominican Republic,85.0,0.70127,0.6575,0.64047,0.7189,0.7444
Ecuador,2.30370535124889,0.438389986753464,3573.97,35.0,97.16544081,16.0679,475.303701323292,8546.0,77.2,94.0,59.8797798156738,0.04,7.27423385399254,2024.0,Ecuador,67.0,0.77997,0.8767,0.88507,0.7715,0.68335
Egypt,4.31097506612381,1.03356003761292,24025.0,881.0,93.20626903,11.8663,53.3021246846793,6105.0,72.7,74.5,39.3823089599609,2.38,3.17962429152873,2024.0,Egypt,95.0,0.66994,0.589,0.70016,0.61503,0.69456
El Salvador,8.2740143730229,0.142800003290176,54.79,2.0,181.6273204,10.6812,181.785792624093,1147.0,67.7,90.0,32.2285118103027,0.4,5.47321599779408,2024.0,El Salvador,115.0,0.5988,0.3836,0.50897,0.53479,0.75264
Eritrea,13.5308915968361,NONE,34.32,NONE,49.74709362,0.165393,0.288152052074839,1.0,20.0,76.5705184936523,3.00972008705139,0.23,NONE,2024.0,Eritrea,190.0,0.15762,0.0137,0.0,0.33237,0.14054
Estonia,23.4551700340512,1.78205001354218,1842.31,25.0,155.0300061,37.7484,112224.017467886,153779.0,93.2,99.870002746582,71.4251937866211,7.28,16.581160524959,2024.0,Estonia,2.0,0.97274,0.9589,0.99535,0.94972,0.97309
Eswatini,4.1720618619313,0.267540007829666,43.19,NONE,122.1702298,2.74627,139.779895425134,172.0,57.6,90.7470169067383,6.17659997940063,0.05,0.285307158606886,2024.0,Eswatini,113.0,0.60812,0.3836,0.45574,0.58357,0.78511
Ethiopia,2.12373982426622,0.274370014667511,7155.92,6.0,56.02453443,0.451577,17.4681050894878,2248.0,16.7,51.7711791992188,7.73872995376587,0.71,3.75062055802087,2024.0,Ethiopia,169.0,0.31109,0.1644,0.34195,0.32537,0.26592
Fiji,1.64316708221271,NONE,212.83,2.0,107.2344015,2.53377,229.40123032641,212.0,79.3,NONE,60.3241920471191,0.5,1.64679784443044,2024.0,Fiji,93.0,0.67544,0.3973,0.53431,0.74131,0.75067
Finland,29.7644235176774,2.96468997001648,12012.73,1557.0,128.6830329,35.3318,153868.49826224,859188.0,93.5,NONE,104.944221496582,2.6,9.71402259549133,2024.0,Finland,9.0,0.95746,0.8904,0.90973,0.98359,0.97909
France,7.59054625989944,2.23311996459961,65888.42,13386.0,118.8472962,48.6192,52082.5872535037,3556589.0,86.8,NONE,71.4203109741211,3.65,23.6797082010726,2024.0,France,34.0,0.87442,0.8082,0.844,0.85645,0.92281
Gabon,0.768761811863683,0.579240024089813,95.12,NONE,125.387067,3.30446,43.0620064721793,107.0,71.9,85.6900024414062,14.7383832931519,0.02,1.77313570365975,2024.0,Gabon,121.0,0.57408,0.1233,0.31875,0.57723,0.8263
Gambia,0.421716163164668,0.0693299993872643,78.46,NONE,101.4408792,0.215819,52.2639365864236,141.0,45.9,58.6699981689453,2.66229009628296,0.0,2.3423098344067,2024.0,Gambia,181.0,0.25517,0.1781,0.09551,0.28231,0.38766
Georgia,12.6452653937607,0.252829998731613,598.53,90.0,156.086567,28.9528,5251.80710018051,19513.0,81.9,100.0,80.2798004150391,1.26,3.73851456652379,2024.0,Georgia,69.0,0.77923,0.5616,0.56522,0.86539,0.90713
Germany,10.9161462748692,3.13235998153687,113976.3,39822.0,125.2251369,45.3805,139985.026416907,11657953.0,93.5,NONE,77.3656997680664,4.77,17.8508979027451,2024.0,Germany,12.0,0.93821,0.9726,0.92384,0.96724,0.92359
Ghana,2.07287835171577,0.376549988985062,3075.26,12.0,119.6243981,0.660893,48.1533130456056,1627.0,69.9,80.379997253418,21.990140914917,0.02,2.11003762211445,2024.0,Ghana,108.0,0.63169,0.5342,0.60837,0.55857,0.72814
Greece,2.81200583443239,1.48596000671387,15105.34,394.0,109.0631741,43.7095,14229.661985464,148068.0,85.0,94.0,166.665649414062,2.82,15.011494857431,2024.0,Greece,36.0,0.86737,0.6712,0.81453,0.9219,0.86568
Grenada,0.704934758229431,NONE,52.76,NONE,81.06733007,29.7674,614.958874625259,72.0,74.1,98.4000015258789,96.8923263549805,1.79,3.00776134164197,2024.0,Grenada,104.0,0.64577,0.2466,0.50555,0.75501,0.67674
Guatemala,14.0346557537108,0.0586300007998943,121.38,9.0,115.1820498,5.08083,109.187182804061,1979.0,56.1,83.0311737060547,27.2776298522949,0.26,5.77662450839393,2024.0,Guatemala,122.0,0.57383,0.4658,0.65379,0.4834,0.58427
Guinea,47.2973917907839,NONE,47.18,NONE,101.9442494,0.00627529,10.4821308131051,151.0,26.5,45.3300018310547,6.7185697555542,0.02,0.899971742078623,2024.0,Guinea,160.0,0.40059,0.5068,0.48081,0.28868,0.4323
Guinea-Bissau,26.4008007199133,NONE,14.77,NONE,125.9324571,0.310448,6.50153087832431,14.0,32.5,53.9000015258789,2.52465009689331,NONE,5.80645161290323,2024.0,Guinea-Bissau,170.0,0.30831,0.2192,0.12703,0.30774,0.49023
Guyana,0.860901501492639,NONE,28.87,40.0,106.3926311,12.9356,101.651473401803,84.0,81.7,90.0299987792969,11.6349601745605,0.01,15.7138926801315,2024.0,Guyana,128.0,0.54432,0.2192,0.34549,0.59327,0.69418
Haiti,1.43871246787178,NONE,37.56,2.0,63.9349717,0.306791,7.38996810111676,86.0,39.3,68.0098571777344,1.04627001285553,NONE,NONE,2024.0,Haiti,186.0,0.21165,0.0959,0.13785,0.28834,0.20874
Honduras,2.94271785315153,0.059969998896122,159.18,8.0,76.0806241,4.47165,138.188876481221,1471.0,58.3,89.0,22.1740608215332,0.33,3.30891556062124,2024.0,Honduras,142.0,0.48559,0.3014,0.45874,0.51818,0.47992
Hungary,9.84614936463825,1.39472997188568,8801.72,433.0,104.0561504,36.7902,53717.7865400025,515271.0,91.5,99.0999984741211,58.0702514648438,10.33,17.8912645285025,2024.0,Hungary,59.0,0.8043,0.5479,0.71437,0.8703,0.82821
Iceland,7.92722038204052,2.6003999710083,765.6,34.0,122.5171495,37.4246,85402.5305771719,33593.0,99.8,NONE,84.985237121582,0.19,53.9722930663779,2024.0,Iceland,5.0,0.96707,0.9589,0.90755,0.99531,0.99829
India,48.1688192762242,0.645579993724823,207390.38,26267.0,80.64857717,2.35232,966.082590066802,1389294.0,55.9,77.0,33.1165237426758,2.77,14.9343472986716,2024.0,India,97.0,0.66776,0.6575,0.81842,0.61487,0.57004
Indonesia,8.25334916628967,0.280680000782013,31947.1,1397.0,114.9005566,4.81664,2722.38990575723,765509.0,69.2,96.0,45.1352272033691,2.92,9.08308687782522,2024.0,Indonesia,64.0,0.79911,0.7945,0.80346,0.72934,0.86448
Iran,NONE,0.72664999961853,60939.82,10210.0,164.5020873,12.0206,6599.35473971613,597959.0,79.6,88.9599990844727,60.6945381164551,0.02,0.814007923197325,2024.0,Iran (Islamic Republic of),101.0,0.65639,0.1781,0.37729,0.69316,0.89869
Iraq,1.61329242648833,0.0406999997794628,13407.6,635.0,98.18424176,17.2313,43.6393011863656,1967.0,81.7,86.0,15.499340057373,NONE,NONE,2024.0,Iraq,148.0,0.45721,0.0959,0.18755,0.49672,0.68736
Ireland,57.2340304597094,0.962639987468719,9254.27,75.0,113.2768198,31.8399,150045.406586781,796381.0,96.5,NONE,76.6049499511719,8.59,47.7737732849219,2024.0,Ireland,20.0,0.91377,0.9178,0.87678,0.9046,0.95987
Israel,61.7668959300845,6.01923990249634,15417.46,1592.0,152.2222464,29.8678,13047.4755550089,127299.0,87.0,92.0,57.6379203796387,13.45,37.2972748262903,2024.0,Israel,23.0,0.90143,0.6986,0.85412,0.8739,0.97633
Italy,6.44900435225648,1.39014005661011,90585.64,10281.0,132.971226,33.7932,30239.3103644089,1783922.0,87.0,99.0,73.8962097167969,1.99,9.9836968942283,2024.0,Italy,51.0,0.83557,0.6575,0.76239,0.84262,0.90167
Jamaica,2.41918200303175,0.0609599985182285,168.07,16.0,106.2021796,15.7852,190.859452085474,542.0,83.4,80.0,26.4131107330322,0.28,2.64698979146794,2024.0,Jamaica,96.0,0.66777,0.4384,0.56772,0.706,0.72963
Japan,5.66638440481905,3.40536999702454,103722.96,222452.0,167.5231573,38.5463,31701.7121806602,3947391.0,87.0,NONE,64.6288299560547,8.16,17.5547415163067,2024.0,Japan,13.0,0.9351,0.9863,0.94274,0.9117,0.95091
Jordan,0.345024195552696,0.695469975471497,5249.35,25.0,67.56799743,7.03749,182.967132441716,2093.0,92.5,95.0,33.0567016601562,0.68,2.08415985427159,2024.0,Jordan,89.0,0.68493,0.6164,0.75905,0.64579,0.64992
Kazakhstan,6.86862817368628,0.144720003008842,3550.75,803.0,130.4206754,17.6345,5814.13651400898,118202.0,92.9,99.8000030517578,56.5271034240723,1.85,34.4293373196596,2024.0,Kazakhstan,24.0,0.90093,0.8493,0.93903,0.84029,0.92353
Kenya,14.0472962016628,0.808740019798279,2007.14,160.0,121.6735548,2.38883,297.132205291086,16443.0,35.0,82.879997253418,10.5694704055786,0.29,3.04169416728318,2024.0,Kenya,109.0,0.6314,0.5205,0.77704,0.52711,0.59015
Kiribati,2.92387890263218,NONE,2.03,NONE,48.82650573,0.332,22.6363842148947,3.0,88.0,97.9597091674805,NONE,0.19,2.29693114054698,2024.0,Kiribati,147.0,0.45723,0.3288,0.39035,0.6269,0.35438
Kuwait,45.7666174582708,0.0975999981164932,1334.56,1.0,180.9950542,1.01366,385.501357805424,1871.0,99.7,96.0,61.558048248291,0.15,1.78499675433497,2024.0,Kuwait,66.0,0.7812,0.3014,0.63655,0.7083,0.99883
Kyrgyzstan,2.75665664879662,0.0587599985301495,236.83,83.0,130.3819712,6.44653,816.366773477939,5796.0,88.5,99.5999984741211,56.0175933837891,4.67,18.5729291851162,2024.0,Kyrgyzstan,78.0,0.7316,0.4658,0.60723,0.7061,0.88154
