Country,Adult_Literacy_Rate,Tertiary_Education_Enrollment
Afghanistan,7.82851624017411,0.0
Albania,3.01397608748124,0.682326849473647
Algeria,2.21311390791552,0.960396672710236
Andorra,4.34892555438222,21.4346319155008
Angola,45.4147601334516,23.4714139423334
Antigua and Barbuda,0.491266592127263,0.0
Argentina,15.2012582416621,5.44959440578319
Armenia,18.8731728802376,22.0274064686637
Australia,3.2416431736305,25.1586416457084
Austria,12.6919247443816,15.9232697881169
Azerbaijan,2.20769612616225,2.91095088102775
Bahamas,10.416734362593235,0.0138247645369376
Bahrain,8.59334863170875,0.387343644517371
Bangladesh,10.0420735251627,0.307867105131918
Barbados,0.225770564803364,18.4336134860133
Belarus,31.4053956639542,6.01576846359853
Belgium,14.1600401144108,18.6668227645892
Belize,10.0270257343873,0.0
Benin,2.83190861719933,4.41801513975982
Bhutan,0.705040537032692,0.0230326501174942
Bolivia,4.34356490070711,8.16517022638076
Bosnia and Herzegovina,13.0524690363778,4.96705366555243
Botswana,4.66075249113271,0.539469030954736
Brazil,12.7458377115322,11.1103644206652
Brunei Darussalam,10.0959941247275,1.01925056768477
Bulgaria,23.8839775551161,12.0578944173221
Burkina Faso,15.1575780444903,3.79784659837351
Burundi,3.86860273478797,1.11792409166671
Cabo Verde,1.50384370732082,1.15215005835922
Cambodia,5.69796876284965,13.0335115656446
Cameroon,9.45307931673651,2.15123166966613
Canada,13.3202567627962,16.7571370158249
Central African Republic,10.416734362593235,1.87856696826495
Chile,6.00816006406058,10.7195633423709
China,17.4960413801051,26.5682136542881
Colombia,10.4188407364376,8.59989159781141
Comoros,11.6872752233131,0.206883909574449
Costa Rica,14.3989506651499,24.177789153066
Croatia,7.68779664982501,11.0335908814715
Cuba,10.416734362593235,7.87558913182664
Cyprus,30.2242370404501,18.5212981753698
Czech Republic,18.0280903986131,22.4045215279558
Democratic Republic of the Congo,3.41580400885603,0.199611665225369
Denmark,7.65476488731896,17.1962013476568
Djibouti,9.38744959208374,3.27550022198031
Dominica,1.9031986869152,2.88328233207454
Dominican Republic,0.451559934318555,6.03092939982151
Ecuador,2.30370535124889,7.27423385399254
Egypt,4.31097506612381,3.17962429152873
El Salvador,8.2740143730229,5.47321599779408
Eritrea,13.5308915968361,10.52637930741514
Estonia,23.4551700340512,16.581160524959
Eswatini,4.1720618619313,0.285307158606886
Ethiopia,2.12373982426622,3.75062055802087
Fiji,1.64316708221271,1.64679784443044
Finland,29.7644235176774,9.71402259549133
France,7.59054625989944,23.6797082010726
Gabon,0.768761811863683,1.77313570365975
Gambia,0.421716163164668,2.3423098344067
Georgia,12.6452653937607,3.73851456652379
Germany,10.9161462748692,17.8508979027451
Ghana,2.07287835171577,2.11003762211445
Greece,2.81200583443239,15.011494857431
Grenada,0.704934758229431,3.00776134164197
Guatemala,14.0346557537108,5.77662450839393
Guinea,47.2973917907839,0.899971742078623
Guinea-Bissau,26.4008007199133,5.80645161290323
Guyana,0.860901501492639,15.7138926801315
Haiti,1.43871246787178,10.52637930741514
Honduras,2.94271785315153,3.30891556062124
Hungary,9.84614936463825,17.8912645285025
Iceland,7.92722038204052,53.9722930663779
India,48.1688192762242,14.9343472986716
Indonesia,8.25334916628967,9.08308687782522
Iran,10.416734362593235,0.814007923197325
Iraq,1.61329242648833,10.52637930741514
Ireland,57.2340304597094,47.7737732849219
Israel,61.7668959300845,37.2972748262903
Italy,6.44900435225648,9.9836968942283
Jamaica,2.41918200303175,2.64698979146794
Japan,5.66638440481905,17.5547415163067
Jordan,0.345024195552696,2.08415985427159
Kazakhstan,6.86862817368628,34.4293373196596
Kenya,14.0472962016628,3.04169416728318
Kiribati,2.92387890263218,2.29693114054698
Kuwait,45.7666174582708,1.78499675433497
Kyrgyzstan,2.75665664879662,18.5729291851162
Laos,7.55797049542745,7.28644637663924
Latvia,16.9168334291474,18.3733834188523
Lebanon,1.77653813888075,4.30236078360336
Lesotho,0.0884783442873781,0.0742607412455623
Liberia,10.416734362593235,0.643718596498284
Libya,32.1256038647343,0.604680774692483
Lithuania,10.8078132906687,14.4028959953361
Luxembourg,4.27912266606401,6.05174975821516
Madagascar,20.8887227889548,0.478060054077076
Malawi,32.3774760972951,5.31056594105904
Malaysia,9.44804679894627,59.4155074421789
Maldives,0.979112138467307,0.18950505737955
Mali,38.1736778749972,5.479696587969
Malta,1.65251542048844,43.2692793209479
Mauritania,1.99812184858134,2.3506462344976
Mauritius,4.16476138725035,1.01453890078417
Mexico,2.92240599051662,17.5686775936758
Moldova,25.789480153901,2.61708440538272
Mongolia,3.74124560934214,30.8141690897359
Montenegro,7.02119779784845,7.99520160312392
Morocco,9.11743222959442,5.43070567261144
Mozambique,1.17961840629408,2.74244557815277
Myanmar,2.24040290360038,2.94631414241606
Namibia,2.01531553489841,0.0640756369249413
Nepal,15.5612136767327,0.617520704475872
Netherlands,9.10525983301044,24.1160659895902
New Zealand,7.28500561070959,12.9543076787783
Nicaragua,18.0938961122142,0.804653157141111
Niger,25.4590522387256,8.96675024256666
Nigeria,4.28453688122346,3.53042370294988
North Macedonia,20.9636612708518,6.3599119716616
Norway,7.98812436869198,26.259236068581
Oman,6.40546079760669,5.00539346096146
Pakistan,36.1601311600161,1.90280938998427
Palau,0.799749798945581,51.6836869301107
Panama,3.0318657512218,1.00049164015675
Papua New Guinea,0.146187964782598,40.0540621623383
Paraguay,0.627197050943787,10.5004049492786
Peru,2.25326346934085,5.01572012821525
Philippines,14.6860895821014,63.977928897569
Poland,15.486615880834,9.89435682053147
Portugal,8.39198080628629,6.68041454594646
Qatar,4.29634491383363,2.78003630297901
Republic of the Congo,5.46432892689928,4.32722654163177
Romania,25.7439640988509,12.6747408327123
Russia,7.00278726808368,9.72984772707015
Rwanda,3.07229949519383,4.78472979585672
Saint Kitts and Nevis,0.724171754896227,34.6026368990477
Saint Lucia,0.843906596374905,9.33224017462958
Saint Vincent and the Grenadines,1.76899782531243,4.93442861881868
Samoa,6.74463677303409,5.7420173193689
Sao Tome and Principe,1.89567748972604,29.2734328924522
Saudi Arabia,3.49360866932368,0.590629141767828
Senegal,8.67023419984249,1.60473886534447
Serbia,26.2535842010438,4.54619756956742
Seychelles,0.560583092295521,0.0384062538993691
Sierra Leone,0.378515121886121,0.736114020377876
Singapore,8.17163164446749,56.1383758562278
Slovakia,16.2066411565774,9.65058093359051
Slovenia,8.36068302333239,8.20345582131026
Solomon Islands,2.71584437796667,1.35922325473902
South Africa,9.37650031541184,5.70575841482322
Spain,11.1760599080496,9.56253561613111
Sri Lanka,16.9244189853004,1.41723845257758
Sudan,0.0588545658356921,2.20240348221045
Suriname,11.1359778744309,3.21274943551639
Sweden,21.3856970593815,17.6225666444459
Switzerland,11.2054955956156,29.2751803024228
Syria,1.91813899014712,1.38292716055376
Tajikistan,2.78930928483358,1.62712759033372
Tanzania,0.900310176616552,5.06811053608461
Thailand,0.818271995380878,28.3057768762254
Timor-Leste,1.91737688845179,10.52637930741514
Togo,6.92168773862945,0.573585599316818
Tonga,13.1558129410573,2.69650608767328
Trinidad and Tobago,5.43106111005038,1.96311662299562
Tunisia,4.64871425750887,7.70110744284105
Turkmenistan,10.416734362593235,10.52637930741514
Uganda,2.66313695721108,1.40810780488794
Ukraine,41.4648837489459,6.68812192869261
United Arab Emirates,10.416734362593235,9.61865772738817
United Kingdom,9.4887290749911,28.8917146113567
United States of America,6.88003911969008,24.322982844202
Uruguay,18.3939643143061,10.7072308737214
Uzbekistan,8.11660704896229,2.82239070122292
Vanuatu,8.2179112571746,10.52637930741514
Venezuela,4.98054474708171,10.52637930741514
Viet Nam,10.416734362593235,42.689178907016
Yemen,25.363345481351,4.82928415383478
Zambia,2.68120744982854,1.16356588883727
Zimbabwe,3.87019418654021,1.94218828246376
