Country,R&D Expenditure,Patent Applications
Afghanistan,169.19,56.55443457
Albania,238.59,97.88570679
Algeria,7606.65,109.1653573
Andorra,9.6,142.2141211
Angola,44.99,67.37347427
Antigua and Barbuda,7.02,197.3825359
Argentina,9122.18,132.3578095
Armenia,655.3,135.2539805
Australia,62305.03,107.0312028
Austria,14537.08,123.4348071
Azerbaijan,1174.57,106.8548072
Bahamas,17.75,98.53872346
Bahrain,671.6,145.4432145
Bangladesh,7056.17,105.2642491
Barbados,72.38,114.8585936
Belarus,1519.37,123.4472552
Belgium,17612.3,101.8707731
Belize,17.74,65.9948854
Benin,413.69,108.9652901
Bhutan,115.3,94.89274144
Bolivia,188.02,99.62307127
Bosnia and Herzegovina,1039.36,117.8877485
Botswana,392.69,165.3049695
Brazil,67030.59,98.89102076
Brunei Darussalam,414.38,117.7551548
Bulgaria,4784.13,117.4346239
Burkina Faso,411.23,111.6631328
Burundi,27.99,57.96130144
Cabo Verde,22.01,99.2317289
Cambodia,203.2,116.3256071
Cameroon,1506.03,82.77764316
Canada,69051.87,91.23062536
Central African Republic,19.82,33.55228751
Chile,9057.77,134.7453263
China,898949.09,124.8775379
Colombia,9683.4,155.7854178
Comoros,3.74,100.2382961
Costa Rica,711.36,152.0251489
Croatia,5711.14,111.1680153
Cuba,1237.5,67.78418241
Cyprus,1866.52,148.7380631
Czech Republic,14425.23,128.4101866
Democratic Republic of the Congo,237.5,50.3424172
Denmark,16126.02,126.549332
Djibouti,13.16,46.32720375
Dominica,5.17,85.85731647
Dominican Republic,109.82,90.39141331
Ecuador,3573.97,97.16544081
Egypt,24025.0,93.20626903
El Salvador,54.79,181.6273204
Eritrea,34.32,49.74709362
Estonia,1842.31,155.0300061
Eswatini,43.19,122.1702298
Ethiopia,7155.92,56.02453443
Fiji,212.83,107.2344015
Finland,12012.73,128.6830329
France,65888.42,118.8472962
Gabon,95.12,125.387067
Gambia,78.46,101.4408792
Georgia,598.53,156.086567
Germany,113976.3,125.2251369
Ghana,3075.26,119.6243981
Greece,15105.34,109.0631741
Grenada,52.76,81.06733007
Guatemala,121.38,115.1820498
Guinea,47.18,101.9442494
Guinea-Bissau,14.77,125.9324571
Guyana,28.87,106.3926311
Haiti,37.56,63.9349717
Honduras,159.18,76.0806241
Hungary,8801.72,104.0561504
Iceland,765.6,122.5171495
India,207390.38,80.64857717
Indonesia,31947.1,114.9005566
Iran,60939.82,164.5020873
Iraq,13407.6,98.18424176
Ireland,9254.27,113.2768198
Israel,15417.46,152.2222464
Italy,90585.64,132.971226
Jamaica,168.07,106.2021796
Japan,103722.96,167.5231573
Jordan,5249.35,67.56799743
Kazakhstan,3550.75,130.4206754
Kenya,2007.14,121.6735548
Kiribati,2.03,48.82650573
Kuwait,1334.56,180.9950542
Kyrgyzstan,236.83,130.3819712
Laos,83.93,64.95535792
Latvia,1690.44,117.0957679
Lebanon,2091.17,76.67627276
Lesotho,47.96,67.51784393
Liberia,25.91,31.82876165
Libya,407.95,204.6286291
Lithuania,3132.62,139.1367809
Luxembourg,1170.6,137.0751156
Madagascar,156.66,70.18472487
Malawi,361.73,60.12725997
Malaysia,26506.35,141.2923164
Maldives,35.87,136.5417622
Mali,118.09,114.4971206
Malta,593.57,131.5920538
Mauritania,26.47,113.1204131
Mauritius,238.86,161.3582163
Mexico,21027.1,100.2881985
Moldova,283.96,127.4162572
Mongolia,262.05,142.2895592
Montenegro,294.93,203.1681662
Morocco,8445.14,137.4592738
Mozambique,194.32,42.07158261
Myanmar,163.39,106.6964737
Namibia,219.77,113.1970166
Nepal,1699.22,127.2282803
Netherlands,34311.17,118.0652669
New Zealand,9213.62,114.6898687
Nicaragua,41.45,97.10898703
Niger,73.56,56.38600069
Nigeria,9408.02,101.6857635
North Macedonia,532.17,97.83329942
Norway,14068.95,110.6788541
Oman,1588.15,135.0769728
Pakistan,22642.68,81.74691267
Palau,6.45,132.927167
Panama,376.12,156.3065885
Papua New Guinea,83.33,48.42485057
Paraguay,208.68,127.7049687
Peru,4584.96,122.0264016
Philippines,3961.49,144.0428223
Poland,37368.15,131.9444373
Portugal,19622.76,124.5494123
Qatar,2649.64,174.1281471
Republic of the Congo,90.39,96.78757313
Romania,11669.69,118.1071502
Russia,84251.73,168.9847242
Rwanda,352.94,79.86005064
Saint Kitts and Nevis,38.87,119.1089358
Saint Lucia,4.69,95.63211097
Saint Vincent and the Grenadines,8.36,100.4617693
Samoa,16.2,60.40057199
Sao Tome and Principe,3.8,86.77896033
Saudi Arabia,25825.3,132.3800002
Senegal,450.9,120.4336409
Serbia,5379.47,123.7205974
Seychelles,20.24,191.50843
Sierra Leone,86.77,97.70150515
Singapore,12700.34,156.4790531
Slovakia,5390.39,131.9254542
Slovenia,4073.69,126.1838135
Solomon Islands,11.06,66.96324509
South Africa,16651.13,167.3958702
Spain,67099.71,124.0994495
Sri Lanka,2482.89,143.0794174
Sudan,507.12,73.96660858
Suriname,13.33,150.2880072
Sweden,22353.75,125.0711442
Switzerland,24247.97,119.5610489
Syria,584.3,79.67746006
Tajikistan,110.17,118.8094765
Tanzania,1171.41,91.89984822
Thailand,18490.53,176.3169269
Timor-Leste,13.94,110.4161199
Togo,134.74,74.18189659
Tonga,4.63,60.67706123
Trinidad and Tobago,261.85,130.5663978
Tunisia,5730.03,129.2577838
Turkmenistan,21.92,98.62541796
Uganda,1244.0,69.986293
Ukraine,13205.56,135.025689
United Arab Emirates,6401.84,212.2208173
United Kingdom,105583.93,120.8191165
United States of America,457335.25,110.1664718
Uruguay,1057.66,138.526391
Uzbekistan,2187.4,103.0681174
Vanuatu,14.7,78.19948583
Venezuela,512.19,63.41889546
Viet Nam,10530.19,139.9496874
Yemen,415.15,46.0195416
Zambia,344.27,99.10241824
Zimbabwe,563.05,87.62450647
